locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJMONHIK_01691	gene	1152	yhhS			
KJMONHIK_01691	CDS	1152	yhhS			putative MFS-type transporter YhhS
KJMONHIK_01692	gene	1407				
KJMONHIK_01692	CDS	1407				hypothetical protein
KJMONHIK_01693	gene	1467	pucI			
KJMONHIK_01693	CDS	1467	pucI		COG1953	putative allantoin permease
KJMONHIK_01694	gene	1362	ribZ_2			
KJMONHIK_01694	CDS	1362	ribZ_2			Riboflavin transporter RibZ
KJMONHIK_01695	gene	570	yecD			
KJMONHIK_01695	CDS	570	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
KJMONHIK_01696	gene	462				
KJMONHIK_01696	CDS	462				hypothetical protein
KJMONHIK_01697	gene	1215	nrgA			
KJMONHIK_01697	CDS	1215	nrgA			Ammonium transporter
KJMONHIK_01698	gene	351	nrgB			
KJMONHIK_01698	CDS	351	nrgB		COG0347	Nitrogen regulatory PII-like protein
KJMONHIK_01699	gene	582	bcrC			
KJMONHIK_01699	CDS	582	bcrC	3.6.1.27	COG0671	Undecaprenyl-diphosphatase BcrC
KJMONHIK_01700	gene	549				
KJMONHIK_01700	CDS	549				hypothetical protein
KJMONHIK_01701	gene	873	spoIIQ			
KJMONHIK_01701	CDS	873	spoIIQ		COG0739	Stage II sporulation protein Q
KJMONHIK_01702	gene	498	ywnH			
KJMONHIK_01702	CDS	498	ywnH	2.3.1.183	COG1247	Putative phosphinothricin acetyltransferase YwnH
KJMONHIK_01703	gene	510				
KJMONHIK_01703	CDS	510				hypothetical protein
KJMONHIK_01704	gene	1791	kdsB_1			
KJMONHIK_01704	CDS	1791	kdsB_1	2.7.7.38		8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
KJMONHIK_01705	gene	435				
KJMONHIK_01705	CDS	435				hypothetical protein
KJMONHIK_01706	gene	1491	clsA			
KJMONHIK_01706	CDS	1491	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
KJMONHIK_01707	gene	774	mta			
KJMONHIK_01707	CDS	774	mta		COG0789	HTH-type transcriptional activator mta
KJMONHIK_01708	gene	390				
KJMONHIK_01708	CDS	390				hypothetical protein
KJMONHIK_01709	gene	642				
KJMONHIK_01709	CDS	642				hypothetical protein
KJMONHIK_01710	gene	402	ywnA			
KJMONHIK_01710	CDS	402	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
KJMONHIK_01711	gene	1710	ureC			
KJMONHIK_01711	CDS	1710	ureC	3.5.1.5	COG0804	Urease subunit alpha
KJMONHIK_01712	gene	375	ureB			
KJMONHIK_01712	CDS	375	ureB	3.5.1.5	COG0832	Urease subunit beta
KJMONHIK_01713	gene	318	ureA			
KJMONHIK_01713	CDS	318	ureA	3.5.1.5	COG0831	Urease subunit gamma
KJMONHIK_01714	gene	702	livF			
KJMONHIK_01714	CDS	702	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
KJMONHIK_01715	gene	750	lptB			
KJMONHIK_01715	CDS	750	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
KJMONHIK_01716	gene	1071				
KJMONHIK_01716	CDS	1071				hypothetical protein
KJMONHIK_01717	gene	903	livH			
KJMONHIK_01717	CDS	903	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
KJMONHIK_01718	gene	1257	amiC			
KJMONHIK_01718	CDS	1257	amiC			Aliphatic amidase expression-regulating protein
KJMONHIK_01719	gene	189	csbD			
KJMONHIK_01719	CDS	189	csbD		COG3237	Stress response protein CsbD
KJMONHIK_01720	gene	480				
KJMONHIK_01720	CDS	480				hypothetical protein
KJMONHIK_01721	gene	1134	rapA_3			
KJMONHIK_01721	CDS	1134	rapA_3	3.1.-.-	COG0457	Response regulator aspartate phosphatase A
KJMONHIK_01722	gene	1026	moaA			
KJMONHIK_01722	CDS	1026	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
KJMONHIK_01723	gene	789	fdhD			
KJMONHIK_01723	CDS	789	fdhD		COG1526	Sulfur carrier protein FdhD
KJMONHIK_01724	gene	675				
KJMONHIK_01724	CDS	675				hypothetical protein
KJMONHIK_01725	gene	684				
KJMONHIK_01725	CDS	684				hypothetical protein
KJMONHIK_01726	gene	1032				
KJMONHIK_01726	CDS	1032				hypothetical protein
KJMONHIK_01727	gene	1311	murAA			
KJMONHIK_01727	CDS	1311	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
KJMONHIK_01728	gene	741	ywmB			
KJMONHIK_01728	CDS	741	ywmB			putative protein YwmB
KJMONHIK_01729	gene	231				
KJMONHIK_01729	CDS	231				hypothetical protein
KJMONHIK_01730	gene	474				
KJMONHIK_01730	CDS	474				hypothetical protein
KJMONHIK_01731	gene	399	atpC			
KJMONHIK_01731	CDS	399	atpC		COG0355	ATP synthase epsilon chain
KJMONHIK_01732	gene	1422	atpD			
KJMONHIK_01732	CDS	1422	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
KJMONHIK_01733	gene	864	atpG			
KJMONHIK_01733	CDS	864	atpG		COG0224	ATP synthase gamma chain
KJMONHIK_01734	gene	1509	atpA			
KJMONHIK_01734	CDS	1509	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
KJMONHIK_01735	gene	546	atpH			
KJMONHIK_01735	CDS	546	atpH		COG0712	ATP synthase subunit delta
KJMONHIK_01736	gene	513	atpF			
KJMONHIK_01736	CDS	513	atpF		COG0711	ATP synthase subunit b
KJMONHIK_01737	gene	213	atpE			
KJMONHIK_01737	CDS	213	atpE		COG0636	ATP synthase subunit c
KJMONHIK_01738	gene	735	atpB			
KJMONHIK_01738	CDS	735	atpB		COG0356	ATP synthase subunit a
KJMONHIK_01739	gene	384				
KJMONHIK_01739	CDS	384				hypothetical protein
KJMONHIK_01740	gene	630	upp			
KJMONHIK_01740	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
KJMONHIK_01741	gene	1248	glyA			
KJMONHIK_01741	CDS	1248	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
KJMONHIK_01742	gene	543				
KJMONHIK_01742	CDS	543				hypothetical protein
KJMONHIK_01743	gene	450	ywlF			
KJMONHIK_01743	CDS	450	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
KJMONHIK_01744	gene	453	ywlE			
KJMONHIK_01744	CDS	453	ywlE	3.9.1.2	COG0394	Protein-arginine-phosphatase
KJMONHIK_01745	gene	558	mntP			
KJMONHIK_01745	CDS	558	mntP		COG1971	putative manganese efflux pump MntP
KJMONHIK_01746	gene	1041	ywlC			
KJMONHIK_01746	CDS	1041	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
KJMONHIK_01747	gene	465				
KJMONHIK_01747	CDS	465				hypothetical protein
KJMONHIK_01748	gene	675				
KJMONHIK_01748	CDS	675				hypothetical protein
KJMONHIK_01749	gene	363				
KJMONHIK_01749	CDS	363				hypothetical protein
KJMONHIK_01750	gene	285				
KJMONHIK_01750	CDS	285				hypothetical protein
KJMONHIK_01751	gene	867	prmC			
KJMONHIK_01751	CDS	867	prmC	2.1.1.297		Release factor glutamine methyltransferase
KJMONHIK_01752	gene	1071	prfA			
KJMONHIK_01752	CDS	1071	prfA		COG0216	Peptide chain release factor 1
KJMONHIK_01753	gene	387				
KJMONHIK_01753	CDS	387				hypothetical protein
KJMONHIK_01754	gene	555	racA			
KJMONHIK_01754	CDS	555	racA			Chromosome-anchoring protein RacA
KJMONHIK_01755	gene	957				
KJMONHIK_01755	CDS	957				hypothetical protein
KJMONHIK_01756	gene	1698	maeA_1			
KJMONHIK_01756	CDS	1698	maeA_1	1.1.1.38	COG0281	putative NAD-dependent malic enzyme 2
KJMONHIK_01757	gene	588	tdk			
KJMONHIK_01757	CDS	588	tdk	2.7.1.21	COG1435	Thymidine kinase
KJMONHIK_01758	gene	201	rpmE			
KJMONHIK_01758	CDS	201	rpmE		COG0254	50S ribosomal protein L31
KJMONHIK_01759	gene	1284	rho			
KJMONHIK_01759	CDS	1284	rho	3.6.4.-	COG1158	Transcription termination factor Rho
KJMONHIK_01760	gene	966	glpX			
KJMONHIK_01760	CDS	966	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
KJMONHIK_01761	gene	1290	murAB			
KJMONHIK_01761	CDS	1290	murAB	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
KJMONHIK_01762	gene	639	tal			
KJMONHIK_01762	CDS	639	tal	2.2.1.2	COG0176	Transaldolase
KJMONHIK_01763	gene	858	fbaA			
KJMONHIK_01763	CDS	858	fbaA	4.1.2.13	COG0191	putative fructose-bisphosphate aldolase
KJMONHIK_01764	gene	375	spo0F			
KJMONHIK_01764	CDS	375	spo0F	2.7.-.-	COG0784	Sporulation initiation phosphotransferase F
KJMONHIK_01765	gene	522				
KJMONHIK_01765	CDS	522				hypothetical protein
KJMONHIK_01766	gene	1608	pyrG			
KJMONHIK_01766	CDS	1608	pyrG	6.3.4.2		CTP synthase
KJMONHIK_01767	gene	522	rpoE			
KJMONHIK_01767	CDS	522	rpoE			DNA-directed RNA polymerase subunit delta
KJMONHIK_01768	gene	1140	acdA			
KJMONHIK_01768	CDS	1140	acdA	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
KJMONHIK_01769	gene	2118	fadF			
KJMONHIK_01769	CDS	2118	fadF	1.-.-.-	COG0247	putative iron-sulfur-binding oxidoreductase FadF
KJMONHIK_01770	gene	1200	clsB			
KJMONHIK_01770	CDS	1200	clsB		COG1502	Minor cardiolipin synthase ClsB
KJMONHIK_01771	gene	963	uvsE			
KJMONHIK_01771	CDS	963	uvsE	3.-.-.-	COG4294	UV DNA damage endonuclease
KJMONHIK_01772	gene	273				
KJMONHIK_01772	CDS	273				hypothetical protein
KJMONHIK_01773	gene	525				
KJMONHIK_01773	CDS	525				IS1595 family transposase ISCac2
KJMONHIK_01774	gene	1728				
KJMONHIK_01774	CDS	1728		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
KJMONHIK_01775	gene	1503	ywiE			
KJMONHIK_01775	CDS	1503	ywiE	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
KJMONHIK_01776	gene	630				
KJMONHIK_01776	CDS	630				hypothetical protein
KJMONHIK_01777	gene	672	narX			
KJMONHIK_01777	CDS	672	narX		COG2180	Nitrate reductase-like protein NarX
KJMONHIK_01778	gene	555				
KJMONHIK_01778	CDS	555				hypothetical protein
KJMONHIK_01779	gene	1464	narH			
KJMONHIK_01779	CDS	1464	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
KJMONHIK_01780	gene	3687	narG			
KJMONHIK_01780	CDS	3687	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
KJMONHIK_01781	gene	477	arfM			
KJMONHIK_01781	CDS	477	arfM			putative transcription regulator ArfM
KJMONHIK_01782	gene	681				
KJMONHIK_01782	CDS	681				hypothetical protein
KJMONHIK_01783	gene	717	fnr			
KJMONHIK_01783	CDS	717	fnr		COG0664	Anaerobic regulatory protein
KJMONHIK_01784	gene	1230	narT			
KJMONHIK_01784	CDS	1230	narT		COG2223	putative nitrate transporter NarT
KJMONHIK_01785	gene	1671	argS			
KJMONHIK_01785	CDS	1671	argS	6.1.1.19		Arginine--tRNA ligase
KJMONHIK_01786	gene	429	ywiB			
KJMONHIK_01786	CDS	429	ywiB		COG4506	putative beta-barrel protein YwiB
KJMONHIK_01787	gene	132	sboA			
KJMONHIK_01787	CDS	132	sboA			Subtilosin-A
KJMONHIK_01788	gene	1347	albA			
KJMONHIK_01788	CDS	1347	albA	1.21.98.-	COG0535	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA
KJMONHIK_01789	gene	720	albC			
KJMONHIK_01789	CDS	720	albC			Putative ABC transporter ATP-binding protein AlbC
KJMONHIK_01790	gene	1311	albD			
KJMONHIK_01790	CDS	1311	albD			Antilisterial bacteriocin subtilosin biosynthesis protein AlbD
KJMONHIK_01791	gene	1185	albE			
KJMONHIK_01791	CDS	1185	albE		COG0612	Antilisterial bacteriocin subtilosin biosynthesis protein AlbE
KJMONHIK_01792	gene	1284	albF			
KJMONHIK_01792	CDS	1284	albF	3.4.24.-	COG0612	Putative zinc protease AlbF
KJMONHIK_01793	gene	702	albG			
KJMONHIK_01793	CDS	702	albG			Antilisterial bacteriocin subtilosin biosynthesis protein AlbG
KJMONHIK_01794	gene	1356	ywhK			
KJMONHIK_01794	CDS	1356	ywhK		COG3391	putative protein YwhK
KJMONHIK_01795	gene	1146	rapF_2			
KJMONHIK_01795	CDS	1146	rapF_2	3.1.-.-	COG0457	Response regulator aspartate phosphatase F
KJMONHIK_01796	gene	120				
KJMONHIK_01796	CDS	120				hypothetical protein
KJMONHIK_01797	gene	873	speB			
KJMONHIK_01797	CDS	873	speB	3.5.3.11	COG0010	Agmatinase
KJMONHIK_01798	gene	831	speE			
KJMONHIK_01798	CDS	831	speE	2.5.1.16	COG0421	Polyamine aminopropyltransferase
KJMONHIK_01799	gene	2076	pbpG			
KJMONHIK_01799	CDS	2076	pbpG		COG0744	Penicillin-binding protein 2D
KJMONHIK_01800	gene	519				
KJMONHIK_01800	CDS	519				hypothetical protein
KJMONHIK_01801	gene	660				
KJMONHIK_01801	CDS	660				hypothetical protein
KJMONHIK_01802	gene	189	ywhB			
KJMONHIK_01802	CDS	189	ywhB	5.3.2.6	COG1942	2-hydroxymuconate tautomerase
KJMONHIK_01803	gene	420				
KJMONHIK_01803	CDS	420				hypothetical protein
KJMONHIK_01804	gene	1917	thrZ			
KJMONHIK_01804	CDS	1917	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
KJMONHIK_01805	gene	156				
KJMONHIK_01805	CDS	156				hypothetical protein
KJMONHIK_01806	gene	501				
KJMONHIK_01806	CDS	501				hypothetical protein
KJMONHIK_01807	gene	1302				
KJMONHIK_01807	CDS	1302				hypothetical protein
KJMONHIK_01808	gene	225				
KJMONHIK_01808	CDS	225				hypothetical protein
KJMONHIK_01809	gene	786	rsfA_2			
KJMONHIK_01809	CDS	786	rsfA_2			Prespore-specific transcriptional regulator RsfA
KJMONHIK_01810	gene	891				
KJMONHIK_01810	CDS	891				hypothetical protein
KJMONHIK_01811	gene	846	lipL			
KJMONHIK_01811	CDS	846	lipL	2.3.1.204	COG0095	Octanoyl-[GcvH]:protein N-octanoyltransferase
KJMONHIK_01812	gene	900	cysL_2			
KJMONHIK_01812	CDS	900	cysL_2		COG0583	HTH-type transcriptional regulator CysL
KJMONHIK_01813	gene	972	pta_1			
KJMONHIK_01813	CDS	972	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
KJMONHIK_01814	gene	765				
KJMONHIK_01814	CDS	765		1.11.1.-	COG3253	Putative heme-dependent peroxidase
KJMONHIK_01815	gene	780	bacG			
KJMONHIK_01815	CDS	780	bacG	1.3.1.-	COG1028	NADPH-dependent reductase BacG
KJMONHIK_01816	gene	1200	bacF_2			
KJMONHIK_01816	CDS	1200	bacF_2	2.6.1.-	COG0436	Transaminase BacF
KJMONHIK_01817	gene	1185	bacE			
KJMONHIK_01817	CDS	1185	bacE			Putative bacilysin exporter BacE
KJMONHIK_01818	gene	1419	bacD			
KJMONHIK_01818	CDS	1419	bacD	6.3.2.49	COG0439	Alanine--anticapsin ligase
KJMONHIK_01819	gene	762	bacC_1			
KJMONHIK_01819	CDS	762	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
KJMONHIK_01820	gene	708	bacB			
KJMONHIK_01820	CDS	708	bacB	5.3.3.19		H2HPP isomerase
KJMONHIK_01821	gene	615	bacA			
KJMONHIK_01821	CDS	615	bacA	4.1.1.100		Prephenate decarboxylase
KJMONHIK_01822	gene	1239	pbuE_1			
KJMONHIK_01822	CDS	1239	pbuE_1		COG2814	Purine efflux pump PbuE
KJMONHIK_01823	gene	1413	rocC_1			
KJMONHIK_01823	CDS	1413	rocC_1		COG0833	Amino-acid permease RocC
KJMONHIK_01824	gene	1701	rocB_1			
KJMONHIK_01824	CDS	1701	rocB_1		COG4187	Protein RocB
KJMONHIK_01825	gene	1548	rocA			
KJMONHIK_01825	CDS	1548	rocA	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase
KJMONHIK_01826	gene	1275	rocG			
KJMONHIK_01826	CDS	1275	rocG	1.4.1.2	COG0334	Catabolic NAD-specific glutamate dehydrogenase RocG
KJMONHIK_01827	gene	465	bslB			
KJMONHIK_01827	CDS	465	bslB			putative biofilm-surface layer protein B
KJMONHIK_01828	gene	456	rfbC			
KJMONHIK_01828	CDS	456	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
KJMONHIK_01829	gene	852	rmlD			
KJMONHIK_01829	CDS	852	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
KJMONHIK_01830	gene	948	rfbB			
KJMONHIK_01830	CDS	948	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
KJMONHIK_01831	gene	741	rmlA			
KJMONHIK_01831	CDS	741	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
KJMONHIK_01832	gene	1020				
KJMONHIK_01832	CDS	1020				hypothetical protein
KJMONHIK_01833	gene	723	kdsB_2			
KJMONHIK_01833	CDS	723	kdsB_2	2.7.7.38		8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
KJMONHIK_01834	gene	1122	spsE			
KJMONHIK_01834	CDS	1122	spsE		COG2089	Spore coat polysaccharide biosynthesis protein SpsE
KJMONHIK_01835	gene	870	wecD_2			
KJMONHIK_01835	CDS	870	wecD_2	2.3.1.210		dTDP-fucosamine acetyltransferase
KJMONHIK_01836	gene	1170	arnB			
KJMONHIK_01836	CDS	1170	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
KJMONHIK_01837	gene	1425				
KJMONHIK_01837	CDS	1425				hypothetical protein
KJMONHIK_01838	gene	771	spsA			
KJMONHIK_01838	CDS	771	spsA		COG0463	Spore coat polysaccharide biosynthesis protein SpsA
KJMONHIK_01839	gene	546	gerQ			
KJMONHIK_01839	CDS	546	gerQ			Spore coat protein GerQ
KJMONHIK_01840	gene	372				
KJMONHIK_01840	CDS	372				hypothetical protein
KJMONHIK_01841	gene	1323	ywdJ			
KJMONHIK_01841	CDS	1323	ywdJ		COG2233	Putative purine permease YwdJ
KJMONHIK_01842	gene	318	ywdI			
KJMONHIK_01842	CDS	318	ywdI			putative protein YwdI
KJMONHIK_01843	gene	1371	aldH1			
KJMONHIK_01843	CDS	1371	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
KJMONHIK_01844	gene	678	ung			
KJMONHIK_01844	CDS	678	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
KJMONHIK_01845	gene	807				
KJMONHIK_01845	CDS	807				hypothetical protein
KJMONHIK_01846	gene	534				
KJMONHIK_01846	CDS	534				hypothetical protein
KJMONHIK_01847	gene	636				
KJMONHIK_01847	CDS	636				hypothetical protein
KJMONHIK_01848	gene	339				
KJMONHIK_01848	CDS	339				hypothetical protein
KJMONHIK_01849	gene	816	pdxK			
KJMONHIK_01849	CDS	816	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
KJMONHIK_01850	gene	249				
KJMONHIK_01850	CDS	249				hypothetical protein
KJMONHIK_01851	gene	1440	scrB			
KJMONHIK_01851	CDS	1440	scrB	3.2.1.26	COG1621	Sucrose-6-phosphate hydrolase
KJMONHIK_01852	gene	1386	sacX_1			
KJMONHIK_01852	CDS	1386	sacX_1		COG1263	Negative regulator of SacY activity
KJMONHIK_01853	gene	771	nirC			
KJMONHIK_01853	CDS	771	nirC		COG2116	Nitrite transporter NirC
KJMONHIK_01854	gene	831	sacY_1			
KJMONHIK_01854	CDS	831	sacY_1		COG3711	Levansucrase and sucrase synthesis operon antiterminator
KJMONHIK_01855	gene	303				
KJMONHIK_01855	CDS	303				hypothetical protein
KJMONHIK_01856	gene	2421	vpr			
KJMONHIK_01856	CDS	2421	vpr	3.4.21.-	COG1404	Minor extracellular protease vpr
KJMONHIK_01857	gene	1002				
KJMONHIK_01857	CDS	1002				hypothetical protein
KJMONHIK_01858	gene	750	nfrA1			
KJMONHIK_01858	CDS	750	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
KJMONHIK_01859	gene	1185	rodA			
KJMONHIK_01859	CDS	1185	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
KJMONHIK_01860	gene	357				
KJMONHIK_01860	CDS	357				hypothetical protein
KJMONHIK_01861	gene	147				
KJMONHIK_01861	CDS	147				hypothetical protein
KJMONHIK_01862	gene	414				
KJMONHIK_01862	CDS	414				hypothetical protein
KJMONHIK_01863	gene	261	ywcE			
KJMONHIK_01863	CDS	261	ywcE			Spore morphogenesis and germination protein YwcE
KJMONHIK_01864	gene	375	qoxD			
KJMONHIK_01864	CDS	375	qoxD	1.10.3.-		Quinol oxidase subunit 4
KJMONHIK_01865	gene	615	qoxC			
KJMONHIK_01865	CDS	615	qoxC	1.10.3.-		Quinol oxidase subunit 3
KJMONHIK_01866	gene	1950	qoxB			
KJMONHIK_01866	CDS	1950	qoxB	1.10.3.-		Quinol oxidase subunit 1
KJMONHIK_01867	gene	1002	qoxA			
KJMONHIK_01867	CDS	1002	qoxA	1.10.3.-		Quinol oxidase subunit 2
KJMONHIK_01868	gene	249				
KJMONHIK_01868	CDS	249				hypothetical protein
KJMONHIK_01869	gene	1542	galT			
KJMONHIK_01869	CDS	1542	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
KJMONHIK_01870	gene	1173	galK			
KJMONHIK_01870	CDS	1173	galK	2.7.1.6	COG0153	Galactokinase
KJMONHIK_01871	gene	405				
KJMONHIK_01871	CDS	405				hypothetical protein
KJMONHIK_01872	gene	672				
KJMONHIK_01872	CDS	672				hypothetical protein
KJMONHIK_01873	gene	159	slrA			
KJMONHIK_01873	CDS	159	slrA			Transcriptional regulator SlrA
KJMONHIK_01874	gene	309				
KJMONHIK_01874	CDS	309				hypothetical protein
KJMONHIK_01875	gene	1542	actP			
KJMONHIK_01875	CDS	1542	actP		COG4147	Cation/acetate symporter ActP
KJMONHIK_01876	gene	600				
KJMONHIK_01876	CDS	600				hypothetical protein
KJMONHIK_01877	gene	1251	efeN			
KJMONHIK_01877	CDS	1251	efeN	1.11.1.-	COG2837	putative deferrochelatase/peroxidase EfeN
KJMONHIK_01878	gene	339	efeM			
KJMONHIK_01878	CDS	339	efeM		COG2822	putative iron uptake system component EfeM
KJMONHIK_01879	gene	663	thiE			
KJMONHIK_01879	CDS	663	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
KJMONHIK_01880	gene	819	thiM			
KJMONHIK_01880	CDS	819	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
KJMONHIK_01881	gene	906	cynR			
KJMONHIK_01881	CDS	906	cynR			HTH-type transcriptional regulator CynR
KJMONHIK_01882	gene	492	cidA_1			
KJMONHIK_01882	CDS	492	cidA_1			Holin-like protein CidA
KJMONHIK_01883	gene	678	yohK			
KJMONHIK_01883	CDS	678	yohK		COG1346	Inner membrane protein YohK
KJMONHIK_01884	gene	651	bcrA_3			
KJMONHIK_01884	CDS	651	bcrA_3			Bacitracin transport ATP-binding protein BcrA
KJMONHIK_01885	gene	684				
KJMONHIK_01885	CDS	684				hypothetical protein
KJMONHIK_01886	gene	714				
KJMONHIK_01886	CDS	714				hypothetical protein
KJMONHIK_01887	gene	798				
KJMONHIK_01887	CDS	798				hypothetical protein
KJMONHIK_01888	gene	432				
KJMONHIK_01888	CDS	432				hypothetical protein
KJMONHIK_01889	gene	1203				
KJMONHIK_01889	CDS	1203				hypothetical protein
KJMONHIK_01890	gene	198				
KJMONHIK_01890	CDS	198				hypothetical protein
KJMONHIK_01891	gene	1188	rlmI			
KJMONHIK_01891	CDS	1188	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
KJMONHIK_01892	gene	381	gloA			
KJMONHIK_01892	CDS	381	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
KJMONHIK_01893	gene	678				
KJMONHIK_01893	CDS	678				hypothetical protein
KJMONHIK_01894	gene	1323	licC_1			
KJMONHIK_01894	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
KJMONHIK_01895	gene	1938	epr			
KJMONHIK_01895	CDS	1938	epr	3.4.21.-	COG1404	Minor extracellular protease Epr
KJMONHIK_01896	gene	1380	sacX_2			
KJMONHIK_01896	CDS	1380	sacX_2		COG1263	Negative regulator of SacY activity
KJMONHIK_01897	gene	843	sacY_2			
KJMONHIK_01897	CDS	843	sacY_2		COG3711	Levansucrase and sucrase synthesis operon antiterminator
KJMONHIK_01898	gene	861	gspA			
KJMONHIK_01898	CDS	861	gspA		COG1442	General stress protein A
KJMONHIK_01899	gene	714				
KJMONHIK_01899	CDS	714				hypothetical protein
KJMONHIK_01900	gene	516				
KJMONHIK_01900	CDS	516				hypothetical protein
KJMONHIK_01901	gene	1239	tyrS			
KJMONHIK_01901	CDS	1239	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
KJMONHIK_01902	gene	1368	ywaD			
KJMONHIK_01902	CDS	1368	ywaD	3.4.11.6	COG2234	Aminopeptidase YwaD
KJMONHIK_01903	gene	633	ywaC			
KJMONHIK_01903	CDS	633	ywaC	2.7.6.5	COG2357	GTP pyrophosphokinase YwaC
KJMONHIK_01904	gene	120				
KJMONHIK_01904	CDS	120				hypothetical protein
KJMONHIK_01905	gene	513				
KJMONHIK_01905	CDS	513				hypothetical protein
KJMONHIK_01906	gene	936	menA			
KJMONHIK_01906	CDS	936	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
KJMONHIK_01907	gene	222				
KJMONHIK_01907	CDS	222				hypothetical protein
KJMONHIK_01908	gene	1515	dltA_3			
KJMONHIK_01908	CDS	1515	dltA_3	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
KJMONHIK_01909	gene	1188				
KJMONHIK_01909	CDS	1188				hypothetical protein
KJMONHIK_01910	gene	237	dltC			
KJMONHIK_01910	CDS	237	dltC		COG0236	D-alanyl carrier protein
KJMONHIK_01911	gene	1179	dltD			
KJMONHIK_01911	CDS	1179	dltD		COG3966	Protein DltD
KJMONHIK_01912	gene	759				
KJMONHIK_01912	CDS	759				hypothetical protein
KJMONHIK_01913	gene	1092	ilvK			
KJMONHIK_01913	CDS	1092	ilvK	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase 2
KJMONHIK_01914	gene	1329	licH			
KJMONHIK_01914	CDS	1329	licH	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
KJMONHIK_01915	gene	264	licA			
KJMONHIK_01915	CDS	264	licA		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
KJMONHIK_01916	gene	1359	licC_2			
KJMONHIK_01916	CDS	1359	licC_2		COG1455	Lichenan permease IIC component
KJMONHIK_01917	gene	309	licB			
KJMONHIK_01917	CDS	309	licB	2.7.1.-	COG1440	Lichenan-specific phosphotransferase enzyme IIB component
KJMONHIK_01918	gene	1926	licR			
KJMONHIK_01918	CDS	1926	licR		COG1762	putative licABCH operon regulator
KJMONHIK_01919	gene	591				
KJMONHIK_01919	CDS	591		3.2.2.-		Putative 3-methyladenine DNA glycosylase
KJMONHIK_01920	gene	1644	katA_2			
KJMONHIK_01920	CDS	1644	katA_2	1.11.1.6	COG0753	Catalase
KJMONHIK_01921	gene	1203	sotB			
KJMONHIK_01921	CDS	1203	sotB			sugar efflux transporter
